name,size,percent_used,index_scans,seq_scans,unused
public.idx_payment_transactions_created_at,16 kB,0%,0,0,t
public.idx_program_requirements_cohort_id,16 kB,100%,4,0,f
public.user_application_status_user_profile_id_application_id_key,16 kB,0%,0,0,t
public.user_profiles_privy_user_id_key,16 kB,100%,40,0,f
public.user_profiles_pkey,16 kB,100%,77,0,f
public.milestone_tasks_pkey,16 kB,100%,55,0,f
public.idx_user_milestone_progress_milestone_id,16 kB,0%,0,0,t
public.payment_transactions_payment_reference_key,16 kB,0%,0,0,t
public.idx_user_task_progress_user_profile_id,16 kB,0%,0,0,t
public.user_milestone_progress_user_profile_id_milestone_id_key,16 kB,100%,53,0,f
public.user_profiles_username_key,16 kB,0%,0,0,t
public.idx_user_profiles_privy_user_id,16 kB,100%,203,0,f
public.idx_quest_tasks_quest_id,16 kB,100%,12,0,f
public.idx_user_milestone_progress_user_profile_id,16 kB,0%,0,0,t
public.idx_user_activities_activity_type,16 kB,0%,0,0,t
public.idx_milestone_tasks_contract_address,16 kB,0%,0,0,t
public.idx_be_claim_in_progress,16 kB,0%,0,0,t
public.idx_cohort_milestones_prerequisite_id,16 kB,0%,0,0,t
public.idx_attestation_schemas_category,16 kB,0%,0,0,t
public.idx_milestone_tasks_contract_network,16 kB,0%,0,0,t
public.idx_task_submissions_status,16 kB,0%,0,0,t
public.notifications_pkey,16 kB,0%,0,0,t
public.idx_cohorts_bootcamp_program_id,16 kB,0%,0,0,t
public.quest_tasks_pkey,16 kB,100%,5,0,f
public.idx_task_submissions_user_id,16 kB,0%,0,0,t
public.idx_user_profiles_wallet_address,16 kB,0%,0,0,t
public.program_highlights_pkey,16 kB,100%,6,0,f
public.idx_applications_user_email,16 kB,0%,0,0,t
public.idx_applications_cohort_id,16 kB,0%,0,0,t
public.idx_user_application_status_status,16 kB,0%,0,0,t
public.user_milestone_progress_pkey,16 kB,0%,0,0,t
public.idx_user_application_status_mismatch,16 kB,0%,0,0,t
public.user_application_status_pkey,16 kB,0%,0,0,t
public.applications_pkey,16 kB,0%,0,0,t
public.idx_task_submissions_task_id,16 kB,0%,0,0,t
public.bootcamp_enrollments_pkey,16 kB,100%,7,0,f
public.idx_payment_transactions_paystack_reference,16 kB,0%,0,0,t
public.program_requirements_pkey,16 kB,100%,6,0,f
public.idx_milestone_tasks_task_type,16 kB,0%,0,0,t
public.bootcamp_enrollments_user_profile_id_cohort_id_key,16 kB,0%,0,0,t
public.idx_attestation_schemas_schema_uid,16 kB,100%,1,0,f
