name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.payment_transactions,16 kB,128 kB,144 kB,2,23
public.bootcamp_enrollments,16 kB,128 kB,144 kB,1,15
public.applications,16 kB,112 kB,128 kB,1,20
public.user_application_status,8192 bytes,112 kB,120 kB,1,17
public.user_task_progress,8192 bytes,112 kB,120 kB,3,8
public.task_submissions,16 kB,96 kB,112 kB,3,8
public.user_profiles,24 kB,80 kB,104 kB,1,5
public.milestone_tasks,16 kB,80 kB,96 kB,3,13
public.user_milestone_progress,8192 bytes,80 kB,88 kB,2,10
public.notifications,16 kB,64 kB,80 kB,16,7
public.cohort_milestones,16 kB,64 kB,80 kB,2,23
public.attestation_schemas,16 kB,64 kB,80 kB,4,4
public.dg_token_withdrawals,8192 bytes,64 kB,72 kB,0,19
public.quest_tasks,16 kB,48 kB,64 kB,21,5
public.user_task_completions,8192 bytes,56 kB,64 kB,0,9
public.user_activities,16 kB,48 kB,64 kB,4,3
public.attestations,8192 bytes,48 kB,56 kB,0,6
public.program_requirements,16 kB,32 kB,48 kB,6,2
public.cohorts,16 kB,32 kB,48 kB,3,505
public.program_highlights,16 kB,32 kB,48 kB,6,2
public.user_journey_preferences,0 bytes,40 kB,40 kB,0,5
public.tos_signatures,8192 bytes,32 kB,40 kB,0,4
public.user_quest_keys,8192 bytes,32 kB,40 kB,0,4
public.lock_registry,8192 bytes,32 kB,40 kB,0,4
public.cohort_managers,8192 bytes,32 kB,40 kB,0,4
public.user_quest_progress,8192 bytes,32 kB,40 kB,0,4
public.config_audit_log,8192 bytes,24 kB,32 kB,0,3
public.bootcamp_programs,16 kB,16 kB,32 kB,3,31
public.user_milestones,8192 bytes,24 kB,32 kB,0,6
public.system_config,16 kB,16 kB,32 kB,2,1
public.quests,16 kB,16 kB,32 kB,6,16
public.bootcamp_completion_remarks,8192 bytes,16 kB,24 kB,0,2
