name,last_vacuum,last_autovacuum,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum
public.cohort_milestones,"","",             2,            14,            50,no
public.cohorts,"","",             1,             6,            50,no
public.applications,"","",            -1,             3,            50,no
public.attestation_schemas,"","",            -1,             1,            50,no
public.attestations,"","",            -1,             0,            50,no
public.bootcamp_completion_remarks,"","",            -1,             0,            50,no
public.bootcamp_enrollments,"","",            -1,             5,            50,no
public.bootcamp_programs,"","",            -1,             1,            50,no
public.cohort_managers,"","",            -1,             0,            50,no
public.config_audit_log,"","",            -1,             0,            50,no
public.dg_token_withdrawals,"","",            -1,             0,            50,no
public.lock_registry,"","",            -1,             0,            50,no
public.milestone_tasks,"","",            -1,             6,            50,no
public.notifications,"","",            -1,             0,            50,no
public.payment_transactions,"","",            -1,             2,            50,no
public.program_highlights,"","",            -1,             0,            50,no
public.program_requirements,"","",            -1,             0,            50,no
public.quest_tasks,"","",            -1,             0,            50,no
public.quests,"","",            -1,             0,            50,no
public.system_config,"","",            -1,             0,            50,no
public.task_submissions,"","",            -1,             5,            50,no
public.tos_signatures,"","",            -1,             0,            50,no
public.user_activities,"","",            -1,             0,            50,no
public.user_application_status,"","",            -1,             3,            50,no
public.user_journey_preferences,"","",            -1,             0,            50,no
public.user_milestone_progress,"","",            -1,            11,            50,no
public.user_milestones,"","",            -1,             0,            50,no
public.user_profiles,"","",            -1,             9,            50,no
public.user_quest_keys,"","",            -1,             0,            50,no
public.user_quest_progress,"","",            -1,             0,            50,no
public.user_task_completions,"","",            -1,             0,            50,no
public.user_task_progress,"","",            -1,            10,            50,no
